Dataset,Node,Model,Precision,Recall,F1
yahoo_s5,0,Graph-Augmented,0.035087718682671604,0.99999950000025,0.06779654237291526
yahoo_s5,0,LSTM-Only,0.040816325697626006,0.99999950000025,0.07843129411768629
yahoo_s5,1,Graph-Augmented,0.9999999333333378,0.9374999414062536,0.9677413735694607
yahoo_s5,1,LSTM-Only,0.9999999333333378,0.9374999414062536,0.9677413735694607
yahoo_s5,2,Graph-Augmented,0.9999999285714337,0.9999999285714337,0.9999994285716838
yahoo_s5,2,LSTM-Only,0.9999999285714337,0.9999999285714337,0.9999994285716838
yahoo_s5,3,Graph-Augmented,0.09090908925619838,0.99999980000004,0.16666650833345042
yahoo_s5,3,LSTM-Only,0.1470588192041524,0.99999980000004,0.2564100197240331
yahoo_s5,4,Graph-Augmented,0.0,0.0,0.0
yahoo_s5,4,LSTM-Only,0.0,0.0,0.0
yahoo_s5,5,Graph-Augmented,0.28571427551020445,0.9999998750000157,0.4444440740743272
yahoo_s5,5,LSTM-Only,0.38095236281179223,0.9999998750000157,0.5517237003569962
yahoo_s5,6,Graph-Augmented,0.36893203525308704,0.9999999736842113,0.5390066908106061
yahoo_s5,6,LSTM-Only,0.3584905626557494,0.9999999736842113,0.5277773819447276
yahoo_s5,7,Graph-Augmented,0.08433734838147773,0.9999998571428775,0.15555540864209186
yahoo_s5,7,LSTM-Only,0.1666666626984128,0.9999998571428775,0.28571402915470856
yahoo_s5,8,Graph-Augmented,0.33333327777778704,0.99999950000025,0.49999950000025
yahoo_s5,8,LSTM-Only,0.49999987500003124,0.99999950000025,0.6666660000003334
yahoo_s5,9,Graph-Augmented,0.28260868950850676,0.9999999230769291,0.44067760758428537
yahoo_s5,9,LSTM-Only,0.36111110108024724,0.9999999230769291,0.5306118334030272
yahoo_s5,10,Graph-Augmented,0.6785714043367356,0.9999999473684238,0.808510122227539
yahoo_s5,10,LSTM-Only,0.6785714043367356,0.9999999473684238,0.808510122227539
yahoo_s5,11,Graph-Augmented,0.24999996875000394,0.99999950000025,0.3999996000002001
yahoo_s5,11,LSTM-Only,0.07999999680000013,0.99999950000025,0.1481480000000741
yahoo_s5,12,Graph-Augmented,0.99999980000004,0.8333331944444675,0.9090902479341832
yahoo_s5,12,LSTM-Only,0.99999980000004,0.8333331944444675,0.9090902479341832
yahoo_s5,13,Graph-Augmented,0.0,0.0,0.0
yahoo_s5,13,LSTM-Only,0.0,0.0,0.0
yahoo_s5,14,Graph-Augmented,0.99999980000004,0.99999980000004,0.99999930000029
yahoo_s5,14,LSTM-Only,0.99999980000004,0.99999980000004,0.99999930000029
yahoo_s5,15,Graph-Augmented,0.10714285331632667,0.9999996666667778,0.19354819979200022
yahoo_s5,15,LSTM-Only,0.07317072992266513,0.9999996666667778,0.13636350309925838
yahoo_s5,16,Graph-Augmented,0.9893616916025352,0.8942307606323966,0.9393934311807567
yahoo_s5,16,LSTM-Only,0.9893616916025352,0.8942307606323966,0.9393934311807567
yahoo_s5,17,Graph-Augmented,0.0,0.0,0.0
yahoo_s5,17,LSTM-Only,0.0,0.0,0.0
yahoo_s5,18,Graph-Augmented,0.8017241310196196,0.8942307606323966,0.8454540392564924
yahoo_s5,18,LSTM-Only,0.7761193971931388,0.9999999903846155,0.8739490804324499
yahoo_s5,19,Graph-Augmented,0.10227272611053721,0.9999998888889013,0.18556683813384092
yahoo_s5,19,LSTM-Only,0.09876543087943913,0.8888887901234679,0.17777759382732863
yahoo_s5,20,Graph-Augmented,0.27272726033057904,0.9999998333333611,0.42857106122473326
yahoo_s5,20,LSTM-Only,0.31578945706371275,0.9999998333333611,0.47999959680025867
yahoo_s5,21,Graph-Augmented,0.9999999841269844,0.9999999841269844,0.9999994841272344
yahoo_s5,21,LSTM-Only,0.9999999841269844,0.9999999841269844,0.9999994841272344
yahoo_s5,22,Graph-Augmented,0.15999999360000025,0.9999997500000625,0.27586181212858873
yahoo_s5,22,LSTM-Only,0.23529410380622917,0.9999997500000625,0.38095203628139573
yahoo_s5,23,Graph-Augmented,0.4838709521331951,0.9999999333333378,0.6521734451798762
yahoo_s5,23,LSTM-Only,0.11111109876543349,0.06666666222222252,0.08333285764152097
yahoo_s5,24,Graph-Augmented,0.6417910351971488,0.9999999767441866,0.7818176914052481
yahoo_s5,24,LSTM-Only,0.7288135469692619,0.9999999767441866,0.8431367506731001
metrla,0,Graph-Augmented,0.05854956749264832,0.8712871200862662,0.10972556764351747
metrla,0,LSTM-Only,0.12230215809740697,0.8415841500833253,0.21356761709007469
metrla,1,Graph-Augmented,0.06288343553459859,0.8199999918,0.11680898433874995
metrla,1,LSTM-Only,0.3807339432076425,0.8299999917,0.5220121441797787
metrla,2,Graph-Augmented,0.06280530351513935,0.8910891000882267,0.11734016366713518
metrla,2,LSTM-Only,0.11486486467083638,0.6732673200666602,0.19624794667797546
metrla,3,Graph-Augmented,0.047965116244211396,0.6407766928079933,0.08924936319672593
metrla,3,LSTM-Only,0.04166666663773148,0.5825242661890848,0.07777045210362896
metrla,4,Graph-Augmented,0.0259235255826808,0.4040403999591879,0.04872095849017642
metrla,4,LSTM-Only,0.03651685388129655,0.2626262599734721,0.06411815788224845
metrla,5,Graph-Augmented,0.03490401394130074,0.5940594000588179,0.065933961032046
metrla,5,LSTM-Only,0.0462568472025217,0.7524752400745026,0.08715585408504545
metrla,6,Graph-Augmented,0.040462427719677306,0.611650479498539,0.07590349797012966
metrla,6,LSTM-Only,0.0643431634526231,0.46601941295126786,0.11307399147932477
